Waktu,Nilai
13:04:16,0
13:04:17,0
13:04:18,0
13:04:19,0
13:04:20,0
13:04:21,0
13:04:22,0
13:04:23,0
13:04:24,0
13:04:25,0
13:04:26,0
13:04:27,0
13:04:28,0
13:04:29,0
13:04:30,0
13:04:31,0
13:04:32,0
13:04:33,0
13:04:34,38
13:04:35,231
13:04:36,150
13:04:37,56
13:04:38,136
13:04:39,125
13:04:40,41
13:04:41,0
13:04:42,0
13:04:43,0
13:04:44,0
13:04:45,0
13:04:46,0
13:04:47,0
13:04:48,0
13:04:49,0
13:04:50,0
13:04:51,0
13:04:52,0
13:04:53,0
13:04:54,0
13:04:55,0
13:04:56,0
13:04:57,0
13:04:58,0
13:04:59,0
13:05:00,0
13:05:01,0
13:05:02,0
13:05:03,0
13:05:04,0
13:05:05,0
13:05:06,0
13:05:07,0
13:05:08,0
13:05:09,0
13:05:10,0
13:05:11,0
13:05:12,0
13:05:13,0
13:05:14,0
