Waktu,Nilai
11:56:19,0
11:56:20,0
11:56:21,0
11:56:22,0
11:56:23,0
11:56:24,0
11:56:25,0
11:56:26,0
11:56:27,0
11:56:28,0
11:56:29,0
11:56:30,0
11:56:31,0
11:56:32,0
11:56:33,0
11:56:34,0
11:56:35,0
11:56:36,0
11:56:37,0
11:56:38,0
11:56:39,0
11:56:40,0
11:56:41,0
11:56:42,0
11:56:43,0
11:56:44,0
11:56:45,0
11:56:46,0
11:56:47,0
11:56:48,0
11:56:49,0
11:56:50,0
11:56:51,0
11:56:52,0
11:56:53,0
11:56:54,0
11:56:55,0
11:56:56,0
11:56:57,0
11:56:58,44
11:56:59,200
11:57:00,200
11:57:01,179
11:57:02,182
11:57:03,193
11:57:04,75
11:57:05,0
11:57:06,0
11:57:07,0
11:57:08,0
11:57:09,0
11:57:10,0
11:57:11,0
11:57:12,0
11:57:13,0
11:57:14,0
11:57:15,0
11:57:16,0
11:57:17,0
