Waktu,Nilai
12:45:59,0
12:46:00,0
12:46:01,0
12:46:02,0
12:46:03,0
12:46:04,0
12:46:05,0
12:46:06,0
12:46:07,0
12:46:08,0
12:46:09,0
12:46:10,0
12:46:11,0
12:46:12,0
12:46:13,0
12:46:14,0
12:46:15,0
12:46:16,0
12:46:17,0
12:46:18,0
12:46:19,0
12:46:20,0
12:46:21,0
12:46:22,0
12:46:23,0
12:46:24,0
12:46:25,0
12:46:26,0
12:46:27,0
12:46:28,0
12:46:29,0
12:46:30,0
12:46:31,0
12:46:32,0
12:46:33,0
12:46:34,0
12:46:35,0
12:46:36,0
12:46:37,0
12:46:38,0
12:46:39,0
12:46:40,0
12:46:41,0
12:46:42,0
12:46:43,0
12:46:44,0
12:46:45,0
12:46:46,0
12:46:47,0
12:46:48,0
12:46:49,0
12:46:50,0
12:46:51,0
12:46:52,0
12:46:53,0
12:46:54,0
12:46:55,0
12:46:56,0
12:46:57,0
12:46:58,0
12:46:59,0
12:47:00,0
12:47:01,0
12:47:02,0
12:47:03,0
12:47:04,0
12:47:05,0
12:47:06,0
12:47:07,0
12:47:08,0
12:47:09,0
12:47:10,0
12:47:11,0
12:47:12,0
12:47:13,0
12:47:14,0
12:47:15,0
12:47:16,0
12:47:17,0
12:47:18,0
12:47:19,0
12:47:20,0
12:47:21,0
12:47:22,0
12:47:23,0
12:47:24,0
12:47:25,0
12:47:26,0
12:47:27,0
12:47:28,0
12:47:29,0
12:47:30,0
12:47:31,0
12:47:32,0
12:47:33,0
12:47:34,0
12:47:35,0
12:47:36,0
12:47:37,0
12:47:38,0
12:47:39,0
12:47:40,0
12:47:41,0
12:47:42,0
12:47:43,0
12:47:45,0
12:47:46,0
12:47:47,0
12:47:48,0
12:47:49,0
12:47:50,0
12:47:51,0
12:47:52,0
12:47:53,0
12:47:54,0
12:47:55,0
12:47:56,0
12:47:57,0
12:47:58,0
12:47:59,0
12:48:00,0
12:48:01,0
12:48:02,0
12:48:03,0
12:48:04,0
12:48:05,0
12:48:06,0
12:48:07,0
12:48:08,0
12:48:09,0
12:48:10,0
12:48:11,0
12:48:12,0
12:48:13,0
12:48:14,0
12:48:15,0
12:48:16,0
12:48:17,0
12:48:18,0
12:48:19,0
12:48:20,0
12:48:21,0
12:48:22,0
12:48:23,0
12:48:24,0
12:48:25,0
12:48:26,0
12:48:27,0
12:48:28,0
12:48:29,0
12:48:30,0
12:48:31,0
12:48:32,0
12:48:33,0
12:48:34,0
12:48:35,0
12:48:36,0
12:48:37,0
12:48:38,0
12:48:39,0
12:48:40,0
12:48:41,0
12:48:42,0
12:48:43,0
12:48:44,0
12:48:45,0
12:48:46,0
12:48:47,0
12:48:48,0
12:48:49,0
12:48:50,0
12:48:51,0
12:48:52,0
12:48:53,0
12:48:54,0
12:48:55,0
12:48:56,0
12:48:57,0
12:48:58,0
12:48:59,0
12:49:00,0
12:49:01,0
12:49:02,0
12:49:03,0
12:49:04,0
12:49:05,0
12:49:06,0
12:49:07,0
12:49:08,0
12:49:09,0
12:49:10,0
12:49:11,0
12:49:12,0
12:49:13,0
12:49:14,0
12:49:15,0
12:49:16,0
12:49:17,0
12:49:18,0
12:49:19,0
12:49:20,0
12:49:21,0
12:49:22,0
12:49:23,0
12:49:24,0
12:49:25,0
12:49:26,0
12:49:27,0
12:49:28,0
12:49:29,0
12:49:30,0
12:49:31,0
12:49:32,0
12:49:33,0
12:49:34,0
12:49:35,0
12:49:36,0
12:49:37,0
12:49:38,0
12:49:39,0
12:49:40,0
12:49:41,0
12:49:42,0
12:49:43,0
12:49:44,0
12:49:45,0
12:49:46,0
12:49:47,0
12:49:48,0
12:49:49,0
12:49:50,0
12:49:51,0
12:49:52,0
12:49:53,0
12:49:54,0
12:49:55,0
12:49:56,0
12:49:57,0
12:49:58,0
12:49:59,0
12:50:00,0
12:50:01,0
12:50:02,0
12:50:03,0
12:50:04,0
12:50:05,0
12:50:06,0
12:50:07,0
12:50:08,0
12:50:09,0
12:50:10,0
12:50:11,0
12:50:12,0
12:50:13,0
12:50:14,0
12:50:15,0
12:50:16,0
12:50:17,0
12:50:18,0
12:50:19,0
12:50:20,0
12:50:21,0
12:50:22,0
12:50:23,0
12:50:24,0
12:50:25,0
12:50:26,0
12:50:27,0
12:50:28,0
12:50:29,0
12:50:30,0
12:50:31,0
12:50:32,0
12:50:33,0
12:50:34,0
12:50:35,0
12:50:36,0
12:50:37,0
12:50:38,0
12:50:40,0
12:50:41,0
12:50:42,0
12:50:43,0
12:50:44,0
12:50:45,0
12:50:46,0
12:50:47,0
12:50:48,0
12:50:49,0
12:50:50,0
12:50:51,0
12:50:52,0
12:50:53,0
12:50:54,0
12:50:55,0
12:50:56,0
12:50:57,0
12:50:58,0
12:50:59,0
12:51:00,0
12:51:01,0
12:51:02,0
12:51:03,0
12:51:04,0
12:51:05,0
12:51:06,0
12:51:07,0
12:51:08,0
12:51:09,0
12:51:10,0
12:51:11,0
12:51:12,0
12:51:13,0
12:51:14,0
12:51:15,0
12:51:16,0
12:51:17,0
12:51:18,0
12:51:19,0
12:51:20,0
12:51:21,0
12:51:22,0
12:51:23,0
12:51:24,0
12:51:25,0
12:51:26,0
12:51:27,0
12:51:28,0
12:51:29,0
12:51:30,0
12:51:31,0
12:51:32,0
12:51:33,0
12:51:34,0
12:51:35,0
12:51:36,0
12:51:37,0
12:51:38,0
12:51:39,0
12:51:40,0
12:51:41,0
12:51:42,0
12:51:43,0
12:51:44,0
12:51:45,0
12:51:46,0
12:51:47,0
12:51:48,0
12:51:49,0
12:51:50,0
12:51:51,0
12:51:52,0
12:51:53,0
12:51:54,0
12:51:55,0
12:51:56,0
12:51:57,0
12:51:58,0
12:51:59,0
12:52:00,36
12:52:01,89
12:52:04,104
12:52:07,104
